NUM_OPER,MONTOCREDITO_log_est,MONTOCUOTA_log_est,SALDOCAPITAL_POR_VENCER_log_est,NUMERORENEGOCIACION_log_est,PLAZO_est,TASAINTERES_est,DIAS_MADURACION_est,DIAS_RESTANTES_est,PRODUCTO_COD_PROD_2_e,TIPOTASACOD_V_e,PERIOD_PAGO_OTROS_e
1007,-0.053987145,-0.022269871,-1.3935525,0.0,-0.0696394,0.007400823,0.09179123,-0.053487435,-0.009624682,0.0,0.0
1012,-0.06774998,-0.050942738,-1.3840742,0.0,-0.13615829,-0.035397828,0.09172853,-0.010924832,-0.010729523,0.0,0.0
1018,-0.009072443,-0.008331847,1.6222053,0.0,-0.019498494,0.0019990602,0.057899922,-0.004396972,-0.0044072843,0.0,0.0
1026,-0.0064106383,-0.005199901,1.6670835,0.0,-0.053873528,-0.005538135,0.04613018,-0.0013870692,-0.0044072843,0.0,0.0
1053,0.008878756,-0.0022752744,1.5972242,0.0,-0.02021713,-0.00452895,0.06402656,-0.0024392218,-0.004271737,0.0,0.0
1085,0.04509591,0.002671989,-1.3670132,0.0,-0.01713511,-0.034426205,0.12793653,-0.042027004,-0.009621179,0.0,0.0
1087,0.034600824,-0.029457629,-1.379647,0.0,-0.023298472,-0.029660337,0.121457964,-0.04242258,-0.009511344,0.0,0.0
1092,0.10499219,-0.004734655,1.456286,0.0,0.016162455,-0.00040777866,0.076105826,-0.0077351048,-0.004271737,0.0,0.0
1111,0.004124912,0.03905931,-1.0030307,0.0,-0.1359813,0.032285627,0.0887252,-0.0091895405,-0.004503441,0.0,0.0
1115,-0.0010461211,-0.031006824,-1.368444,0.0,-0.052534148,-0.02988007,0.101855114,0.004545446,-0.00971312,0.0,0.0
1127,-0.037902303,-0.019153945,-1.3661557,0.0,-0.21659784,-0.0025817256,0.086914375,-0.010068092,-0.008325541,0.0,0.0
1137,-0.034882884,-0.01419061,-1.3896328,0.0,-0.17710868,-0.049014643,0.08445854,-0.010741403,-0.009328659,0.0,0.0
1138,-0.049823876,-0.01722746,-1.3423734,0.0,0.015471684,0.03384377,0.112043016,-0.048085142,-0.008392816,0.0,0.0
1141,0.004691684,-0.018692886,-1.295517,0.0,-0.01391867,0.024145959,0.20353262,-0.017865606,-0.008392816,0.0,0.0
1156,-0.0018529873,-0.030989781,-1.3935382,0.0,-0.06502253,-0.020710379,0.1448141,-0.009412386,-0.009511344,0.0,0.0
1160,-0.009185092,-0.008331847,1.6223663,0.0,-0.018909192,0.0018810692,0.057219245,-0.00404375,-0.0045995014,0.0,0.0
